"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
HHS Regions,Region 9,2015,43,191,1,11,0,4,0,0,0
HHS Regions,Region 10,2015,43,96,0,2,0,0,0,0,0
HHS Regions,Region 1,2015,44,47,0,0,0,0,0,0,0
HHS Regions,Region 2,2015,44,98,1,3,0,0,0,0,0
HHS Regions,Region 3,2015,44,187,0,2,0,0,0,1,0
HHS Regions,Region 4,2015,44,170,0,3,0,0,0,0,0
HHS Regions,Region 5,2015,44,393,0,1,3,1,0,1,0
HHS Regions,Region 6,2015,44,141,0,1,0,2,0,1,0
HHS Regions,Region 7,2015,44,43,1,3,0,0,0,0,0
HHS Regions,Region 8,2015,44,53,0,1,0,0,1,0,0
HHS Regions,Region 9,2015,44,248,1,6,1,5,0,1,0
HHS Regions,Region 10,2015,44,85,1,3,0,1,0,0,0
HHS Regions,Region 1,2015,45,41,1,2,0,0,1,0,0
HHS Regions,Region 2,2015,45,72,0,3,0,1,0,0,0
HHS Regions,Region 3,2015,45,153,0,2,0,1,0,0,0
HHS Regions,Region 4,2015,45,166,2,3,1,5,0,0,0
HHS Regions,Region 5,2015,45,368,3,1,0,0,1,1,0
HHS Regions,Region 6,2015,45,120,1,3,0,1,0,1,0
HHS Regions,Region 7,2015,45,33,0,0,0,1,0,0,0
HHS Regions,Region 8,2015,45,63,2,1,0,0,0,0,0
HHS Regions,Region 9,2015,45,283,2,15,0,1,2,0,0
HHS Regions,Region 10,2015,45,94,0,4,0,0,0,0,0
HHS Regions,Region 1,2015,46,34,1,0,0,0,0,0,0
HHS Regions,Region 2,2015,46,121,4,16,0,0,0,0,0
HHS Regions,Region 3,2015,46,209,0,1,0,0,0,0,0
HHS Regions,Region 4,2015,46,178,0,4,0,2,0,0,0
HHS Regions,Region 5,2015,46,374,7,2,1,0,0,0,0
HHS Regions,Region 6,2015,46,113,0,0,0,0,0,0,0
HHS Regions,Region 7,2015,46,30,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,46,57,1,4,0,0,0,1,0
HHS Regions,Region 9,2015,46,258,4,11,0,1,0,3,0
HHS Regions,Region 10,2015,46,84,0,4,0,1,0,0,0
HHS Regions,Region 1,2015,47,28,1,0,0,0,0,0,0
HHS Regions,Region 2,2015,47,89,2,6,0,0,0,0,0
HHS Regions,Region 3,2015,47,184,4,1,0,0,0,3,0
HHS Regions,Region 4,2015,47,116,0,0,0,3,0,0,0
HHS Regions,Region 5,2015,47,281,3,1,0,0,0,0,0
HHS Regions,Region 6,2015,47,55,0,1,0,0,0,0,0
HHS Regions,Region 7,2015,47,28,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,47,59,2,1,0,0,1,0,0
HHS Regions,Region 9,2015,47,237,4,10,0,1,2,3,0
HHS Regions,Region 10,2015,47,80,1,4,0,0,0,3,0
HHS Regions,Region 1,2015,48,47,3,1,0,1,0,0,0
HHS Regions,Region 2,2015,48,86,4,11,1,0,0,0,0
HHS Regions,Region 3,2015,48,229,2,2,0,0,1,4,0
HHS Regions,Region 4,2015,48,149,1,0,0,3,0,1,0
HHS Regions,Region 5,2015,48,374,4,4,0,0,0,0,0
HHS Regions,Region 6,2015,48,127,1,1,0,1,0,0,0
HHS Regions,Region 7,2015,48,35,0,1,0,0,0,0,0
HHS Regions,Region 8,2015,48,63,4,2,0,1,0,0,0
HHS Regions,Region 9,2015,48,346,7,8,2,2,2,6,0
HHS Regions,Region 10,2015,48,94,1,6,0,1,0,1,0
HHS Regions,Region 1,2015,49,26,1,0,0,0,0,0,0
HHS Regions,Region 2,2015,49,74,0,6,0,0,0,0,0
HHS Regions,Region 3,2015,49,215,2,0,0,0,0,1,0
HHS Regions,Region 4,2015,49,176,0,1,2,9,1,0,0
HHS Regions,Region 5,2015,49,369,9,1,0,1,0,4,0
HHS Regions,Region 6,2015,49,109,1,4,0,0,0,1,0
HHS Regions,Region 7,2015,49,32,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,49,67,5,5,0,0,0,1,0
HHS Regions,Region 9,2015,49,342,17,15,1,0,0,3,0
HHS Regions,Region 10,2015,49,108,3,5,0,1,1,1,0
HHS Regions,Region 1,2015,50,36,2,1,0,0,0,0,0
HHS Regions,Region 2,2015,50,83,4,15,0,1,0,0,0
HHS Regions,Region 3,2015,50,237,1,0,0,0,1,2,0
HHS Regions,Region 4,2015,50,154,7,0,0,4,0,0,0
HHS Regions,Region 5,2015,50,351,18,6,0,0,0,2,0
HHS Regions,Region 6,2015,50,105,0,3,0,0,1,0,0
HHS Regions,Region 7,2015,50,50,1,0,0,0,0,0,0
HHS Regions,Region 8,2015,50,70,14,3,0,0,0,4,0
HHS Regions,Region 9,2015,50,292,15,10,0,3,2,11,0
HHS Regions,Region 10,2015,50,97,7,1,0,2,0,0,0
HHS Regions,Region 1,2015,51,43,2,3,0,0,0,0,0
HHS Regions,Region 2,2015,51,77,7,10,1,0,2,0,0
HHS Regions,Region 3,2015,51,192,15,3,0,0,0,1,0
HHS Regions,Region 4,2015,51,96,2,1,0,5,0,0,0
HHS Regions,Region 5,2015,51,325,12,1,0,0,0,1,0
HHS Regions,Region 6,2015,51,59,1,2,0,1,0,1,0
HHS Regions,Region 7,2015,51,18,2,0,0,0,0,0,0
HHS Regions,Region 8,2015,51,88,15,4,0,0,0,12,0
HHS Regions,Region 9,2015,51,258,25,9,0,3,1,10,0
HHS Regions,Region 10,2015,51,89,8,0,0,3,0,3,0
HHS Regions,Region 1,2015,52,32,1,1,0,0,0,0,0
HHS Regions,Region 2,2015,52,84,16,4,0,0,0,1,0
HHS Regions,Region 3,2015,52,226,5,4,0,0,1,2,0
HHS Regions,Region 4,2015,52,129,2,1,0,2,0,0,0
HHS Regions,Region 5,2015,52,353,16,1,0,0,0,3,0
HHS Regions,Region 6,2015,52,54,3,0,0,1,0,1,0
HHS Regions,Region 7,2015,52,31,3,1,0,0,1,0,0
HHS Regions,Region 8,2015,52,93,33,2,0,0,1,7,0
HHS Regions,Region 9,2015,52,374,62,37,1,9,1,14,0
HHS Regions,Region 10,2015,52,109,5,5,0,1,5,7,0
HHS Regions,Region 1,2016,1,60,3,3,0,1,0,1,0
HHS Regions,Region 2,2016,1,83,18,2,0,1,1,1,0
HHS Regions,Region 3,2016,1,269,3,1,0,1,0,1,0
HHS Regions,Region 4,2016,1,186,16,2,0,1,1,0,0
HHS Regions,Region 5,2016,1,329,23,0,0,0,0,2,0
HHS Regions,Region 6,2016,1,106,2,3,0,1,0,1,0
HHS Regions,Region 7,2016,1,43,2,0,0,0,0,0,0
HHS Regions,Region 8,2016,1,109,32,3,0,0,1,17,0
HHS Regions,Region 9,2016,1,544,121,52,0,5,7,23,0
HHS Regions,Region 10,2016,1,112,12,2,2,4,2,6,0
HHS Regions,Region 1,2016,2,45,7,2,0,3,0,1,0
HHS Regions,Region 2,2016,2,98,26,4,0,2,5,0,0
HHS Regions,Region 3,2016,2,212,9,3,0,0,0,2,0
HHS Regions,Region 4,2016,2,195,18,12,1,13,0,0,0
HHS Regions,Region 5,2016,2,296,24,3,1,0,0,3,0
HHS Regions,Region 6,2016,2,97,8,3,0,4,0,1,0
HHS Regions,Region 7,2016,2,41,8,2,0,0,0,0,0
HHS Regions,Region 8,2016,2,81,27,3,0,1,2,14,0
HHS Regions,Region 9,2016,2,548,108,53,1,18,10,29,0
HHS Regions,Region 10,2016,2,135,21,4,2,6,6,10,0
HHS Regions,Region 1,2016,3,63,13,2,0,2,1,0,0
HHS Regions,Region 2,2016,3,103,29,3,0,0,1,1,0
HHS Regions,Region 3,2016,3,195,17,3,0,1,1,0,0
HHS Regions,Region 4,2016,3,153,24,8,1,10,3,0,0
HHS Regions,Region 5,2016,3,392,58,14,4,0,1,4,0
HHS Regions,Region 6,2016,3,110,11,6,0,1,0,1,0
HHS Regions,Region 7,2016,3,53,4,2,0,1,2,2,0
HHS Regions,Region 8,2016,3,126,40,1,0,2,2,22,0
HHS Regions,Region 9,2016,3,582,139,57,7,19,14,31,0
HHS Regions,Region 10,2016,3,169,26,4,1,9,0,22,0
HHS Regions,Region 1,2016,4,88,20,1,0,5,0,0,0
HHS Regions,Region 2,2016,4,118,24,5,0,5,0,1,0
HHS Regions,Region 3,2016,4,256,15,2,4,4,2,9,0
HHS Regions,Region 4,2016,4,240,46,16,1,14,1,0,0
HHS Regions,Region 5,2016,4,482,102,28,7,0,1,6,0
HHS Regions,Region 6,2016,4,169,12,11,0,1,2,1,0
HHS Regions,Region 7,2016,4,67,17,2,0,0,0,1,0
HHS Regions,Region 8,2016,4,180,71,6,0,4,3,27,0
HHS Regions,Region 9,2016,4,730,168,88,3,45,16,43,0
HHS Regions,Region 10,2016,4,238,51,1,0,19,3,16,0
HHS Regions,Region 1,2016,5,129,50,5,0,5,3,1,0
HHS Regions,Region 2,2016,5,147,35,8,1,1,5,2,0
HHS Regions,Region 3,2016,5,272,34,3,2,2,5,2,0
HHS Regions,Region 4,2016,5,260,50,16,3,21,3,3,0
HHS Regions,Region 5,2016,5,482,103,14,3,0,4,3,0
HHS Regions,Region 6,2016,5,169,14,14,0,7,3,7,0
HHS Regions,Region 7,2016,5,82,39,1,0,0,1,4,0
HHS Regions,Region 8,2016,5,239,113,4,0,4,4,37,0
HHS Regions,Region 9,2016,5,733,188,102,4,49,29,55,0
HHS Regions,Region 10,2016,5,214,46,4,0,9,5,29,0
HHS Regions,Region 1,2016,6,160,51,4,0,4,11,4,0
HHS Regions,Region 2,2016,6,176,43,13,2,6,8,4,0
HHS Regions,Region 3,2016,6,287,62,0,4,5,3,4,0
HHS Regions,Region 4,2016,6,323,83,17,2,17,2,3,0
HHS Regions,Region 5,2016,6,518,160,15,2,2,2,10,0
HHS Regions,Region 6,2016,6,164,29,25,1,18,2,3,0
HHS Regions,Region 7,2016,6,81,39,2,0,0,0,3,0
HHS Regions,Region 8,2016,6,221,124,6,0,2,4,37,0
HHS Regions,Region 9,2016,6,1029,247,152,5,84,35,97,0
HHS Regions,Region 10,2016,6,243,53,2,1,23,4,41,0
HHS Regions,Region 1,2016,7,168,84,11,0,10,4,1,0
HHS Regions,Region 2,2016,7,215,89,5,2,3,12,5,0
HHS Regions,Region 3,2016,7,385,159,7,1,5,6,12,0
HHS Regions,Region 4,2016,7,364,130,21,1,21,4,3,0
HHS Regions,Region 5,2016,7,647,251,14,2,0,2,7,0
HHS Regions,Region 6,2016,7,248,44,31,9,12,9,6,0
HHS Regions,Region 7,2016,7,85,29,6,1,0,4,14,0
HHS Regions,Region 8,2016,7,346,194,12,0,4,8,48,0
HHS Regions,Region 9,2016,7,1146,297,147,3,103,49,176,0
HHS Regions,Region 10,2016,7,294,63,2,0,21,5,37,0
HHS Regions,Region 1,2016,8,219,113,3,0,12,6,2,0
HHS Regions,Region 2,2016,8,290,151,7,2,4,9,4,0
HHS Regions,Region 3,2016,8,615,303,12,4,17,28,29,0
HHS Regions,Region 4,2016,8,347,125,18,2,25,9,4,0
HHS Regions,Region 5,2016,8,732,303,15,12,0,11,22,0
HHS Regions,Region 6,2016,8,309,71,36,1,27,10,8,0
HHS Regions,Region 7,2016,8,126,47,3,0,2,5,19,0
HHS Regions,Region 8,2016,8,390,220,21,1,4,7,54,0
HHS Regions,Region 9,2016,8,1162,248,115,4,99,59,189,0
HHS Regions,Region 10,2016,8,361,91,2,2,25,12,52,0
HHS Regions,Region 1,2016,9,257,135,4,0,20,9,6,0
HHS Regions,Region 2,2016,9,270,131,6,4,6,11,7,0
HHS Regions,Region 3,2016,9,666,374,12,7,7,18,28,0
HHS Regions,Region 4,2016,9,352,143,20,2,21,10,8,0
HHS Regions,Region 5,2016,9,812,386,15,10,4,20,28,0
HHS Regions,Region 6,2016,9,345,93,31,4,26,8,11,0
HHS Regions,Region 7,2016,9,106,52,3,2,1,2,14,0
HHS Regions,Region 8,2016,9,458,241,56,2,2,16,51,0
HHS Regions,Region 9,2016,9,1067,241,156,1,90,46,148,0
HHS Regions,Region 10,2016,9,354,90,10,0,34,3,46,0
HHS Regions,Region 1,2016,10,398,244,16,3,24,10,4,0
HHS Regions,Region 2,2016,10,313,182,9,2,6,11,8,0
HHS Regions,Region 3,2016,10,777,453,24,10,15,40,51,0
HHS Regions,Region 4,2016,10,429,179,28,5,37,8,8,0
HHS Regions,Region 5,2016,10,907,414,29,14,8,27,33,0
HHS Regions,Region 6,2016,10,350,73,34,2,45,8,9,0
HHS Regions,Region 7,2016,10,144,72,2,5,2,3,13,0
HHS Regions,Region 8,2016,10,439,196,68,0,8,16,56,0
HHS Regions,Region 9,2016,10,932,226,90,5,52,33,110,0
HHS Regions,Region 10,2016,10,406,134,13,1,49,6,41,0
HHS Regions,Region 1,2016,11,306,198,10,1,10,8,3,0
HHS Regions,Region 2,2016,11,307,143,8,3,2,28,13,0
HHS Regions,Region 3,2016,11,636,294,10,1,17,24,39,0
HHS Regions,Region 4,2016,11,367,119,9,2,26,9,7,0
HHS Regions,Region 5,2016,11,645,262,19,6,6,25,29,0
HHS Regions,Region 6,2016,11,294,51,41,1,26,9,10,0
HHS Regions,Region 7,2016,11,71,33,1,0,1,4,7,0
HHS Regions,Region 8,2016,11,308,135,35,1,10,7,34,0
HHS Regions,Region 9,2016,11,825,175,74,7,50,34,103,0
HHS Regions,Region 10,2016,11,352,104,6,2,37,6,33,0
HHS Regions,Region 1,2016,12,288,139,5,0,31,5,6,0
HHS Regions,Region 2,2016,12,270,123,6,2,10,14,11,0
HHS Regions,Region 3,2016,12,489,196,8,4,13,30,38,0
HHS Regions,Region 4,2016,12,289,73,13,2,14,5,5,0
HHS Regions,Region 5,2016,12,470,130,14,3,0,10,23,0
HHS Regions,Region 6,2016,12,249,36,33,2,17,11,19,0
HHS Regions,Region 7,2016,12,82,39,3,2,1,2,5,0
HHS Regions,Region 8,2016,12,227,86,46,0,8,9,20,0
HHS Regions,Region 9,2016,12,667,135,62,4,37,26,62,0
HHS Regions,Region 10,2016,12,326,101,8,0,54,5,18,0
HHS Regions,Region 1,2016,13,270,102,5,1,55,10,8,0
HHS Regions,Region 2,2016,13,244,96,8,6,12,15,15,0
HHS Regions,Region 3,2016,13,379,129,2,0,16,25,29,0
HHS Regions,Region 4,2016,13,279,58,9,5,22,9,6,0
HHS Regions,Region 5,2016,13,455,125,9,10,0,14,20,0
HHS Regions,Region 6,2016,13,261,36,37,1,16,18,17,0
HHS Regions,Region 7,2016,13,68,24,3,1,2,2,2,0
HHS Regions,Region 8,2016,13,231,75,33,2,9,13,37,0
HHS Regions,Region 9,2016,13,605,97,59,7,27,17,61,0
HHS Regions,Region 10,2016,13,279,65,15,0,49,4,16,0
HHS Regions,Region 1,2016,14,174,58,1,0,30,6,7,0
HHS Regions,Region 2,2016,14,187,55,7,2,17,14,8,0
HHS Regions,Region 3,2016,14,268,65,5,5,13,16,18,0
HHS Regions,Region 4,2016,14,206,35,12,18,17,4,2,0
HHS Regions,Region 5,2016,14,401,94,14,3,3,15,16,0
HHS Regions,Region 6,2016,14,188,14,18,1,10,12,16,0
HHS Regions,Region 7,2016,14,64,20,4,1,1,3,7,0
HHS Regions,Region 8,2016,14,151,45,20,0,5,9,31,0
HHS Regions,Region 9,2016,14,491,81,34,2,33,26,50,0
HHS Regions,Region 10,2016,14,273,67,20,1,44,1,8,0
HHS Regions,Region 1,2016,15,146,38,7,1,32,7,3,0
HHS Regions,Region 2,2016,15,138,26,12,0,9,14,12,0
HHS Regions,Region 3,2016,15,278,61,3,1,14,25,32,0
HHS Regions,Region 4,2016,15,204,30,10,5,11,8,10,0
HHS Regions,Region 5,2016,15,354,60,10,4,4,8,26,0
HHS Regions,Region 6,2016,15,150,16,13,1,18,4,6,0
HHS Regions,Region 7,2016,15,49,15,4,1,1,3,1,0
HHS Regions,Region 8,2016,15,114,37,15,0,0,5,22,0
HHS Regions,Region 9,2016,15,433,50,30,3,25,12,37,0
HHS Regions,Region 10,2016,15,224,50,13,0,34,2,13,0
HHS Regions,Region 1,2016,16,133,26,13,0,25,3,1,0
HHS Regions,Region 2,2016,16,149,23,9,5,27,12,10,0
HHS Regions,Region 3,2016,16,269,44,11,1,23,26,37,0
HHS Regions,Region 4,2016,16,179,29,7,4,27,6,9,0
HHS Regions,Region 5,2016,16,270,39,6,2,2,12,24,0
HHS Regions,Region 6,2016,16,145,16,14,0,14,7,7,0
HHS Regions,Region 7,2016,16,49,11,2,1,0,2,10,0
HHS Regions,Region 8,2016,16,90,17,13,1,3,6,20,0
HHS Regions,Region 9,2016,16,368,35,32,1,17,11,39,0
HHS Regions,Region 10,2016,16,164,36,20,1,20,1,6,0
HHS Regions,Region 1,2016,17,93,20,13,0,11,3,3,0
HHS Regions,Region 2,2016,17,106,11,17,0,9,7,15,0
HHS Regions,Region 3,2016,17,228,26,4,0,21,24,22,0
HHS Regions,Region 4,2016,17,145,18,6,2,15,8,5,0
HHS Regions,Region 5,2016,17,231,20,13,0,1,16,14,0
HHS Regions,Region 6,2016,17,127,4,9,0,8,1,10,0
HHS Regions,Region 7,2016,17,32,6,1,1,0,3,3,0
HHS Regions,Region 8,2016,17,74,11,6,0,2,4,17,0
HHS Regions,Region 9,2016,17,287,26,20,2,9,10,26,0
HHS Regions,Region 10,2016,17,168,25,9,0,18,2,4,0
HHS Regions,Region 1,2016,18,42,8,10,0,5,1,5,0
HHS Regions,Region 2,2016,18,81,1,5,1,19,13,2,0
HHS Regions,Region 3,2016,18,178,11,6,0,6,14,22,0
HHS Regions,Region 4,2016,18,129,10,9,0,16,3,6,0
HHS Regions,Region 5,2016,18,197,5,6,1,1,5,10,0
HHS Regions,Region 6,2016,18,96,0,4,0,5,1,7,0
HHS Regions,Region 7,2016,18,22,5,0,0,0,2,1,0
HHS Regions,Region 8,2016,18,57,6,6,0,2,3,10,0
HHS Regions,Region 9,2016,18,213,16,11,0,8,9,17,0
HHS Regions,Region 10,2016,18,110,15,2,0,18,2,2,0
HHS Regions,Region 1,2016,19,17,2,3,0,2,0,1,0
HHS Regions,Region 2,2016,19,55,3,2,0,8,2,7,0
HHS Regions,Region 3,2016,19,141,3,0,0,8,16,9,0
HHS Regions,Region 4,2016,19,136,9,29,2,9,2,3,0
HHS Regions,Region 5,2016,19,161,4,6,0,0,9,6,0
HHS Regions,Region 6,2016,19,92,2,2,0,8,1,5,0
HHS Regions,Region 7,2016,19,19,4,3,0,0,0,3,0
HHS Regions,Region 8,2016,19,46,3,6,0,0,1,11,0
HHS Regions,Region 9,2016,19,236,17,7,0,9,4,26,0
HHS Regions,Region 10,2016,19,116,6,4,0,9,1,0,0
HHS Regions,Region 1,2016,20,18,3,4,0,3,0,1,0
HHS Regions,Region 2,2016,20,52,3,4,0,4,2,14,0
HHS Regions,Region 3,2016,20,100,3,0,0,5,5,7,0
HHS Regions,Region 4,2016,20,118,3,32,2,7,1,0,0
HHS Regions,Region 5,2016,20,138,6,1,1,1,2,8,0
HHS Regions,Region 6,2016,20,71,2,11,0,7,2,2,0
HHS Regions,Region 7,2016,20,11,1,0,0,0,0,0,0
HHS Regions,Region 8,2016,20,30,2,2,0,0,1,8,0
HHS Regions,Region 9,2016,20,192,10,22,1,11,1,10,0
HHS Regions,Region 10,2016,20,86,2,1,0,6,0,0,0
HHS Regions,Region 1,2016,21,15,2,1,0,1,0,0,0
HHS Regions,Region 2,2016,21,47,0,5,0,4,6,9,0
HHS Regions,Region 3,2016,21,62,0,1,0,2,3,3,0
HHS Regions,Region 4,2016,21,70,0,17,1,13,2,0,0
HHS Regions,Region 5,2016,21,110,1,2,1,0,4,2,0
HHS Regions,Region 6,2016,21,58,0,5,0,7,1,1,0
HHS Regions,Region 7,2016,21,4,0,0,0,0,0,0,0
HHS Regions,Region 8,2016,21,34,3,4,0,0,2,5,0
HHS Regions,Region 9,2016,21,157,7,9,0,1,4,12,0
HHS Regions,Region 10,2016,21,82,3,0,0,2,0,0,0
HHS Regions,Region 1,2016,22,4,1,0,0,0,0,0,0
HHS Regions,Region 2,2016,22,36,1,3,0,4,5,10,0
HHS Regions,Region 3,2016,22,66,0,1,0,3,3,7,0
HHS Regions,Region 4,2016,22,67,1,2,1,11,0,2,0
HHS Regions,Region 5,2016,22,68,0,1,0,0,2,0,0
HHS Regions,Region 6,2016,22,33,1,0,0,2,0,2,0
HHS Regions,Region 7,2016,22,4,0,1,0,1,0,0,0
HHS Regions,Region 8,2016,22,9,0,0,0,0,0,1,0
HHS Regions,Region 9,2016,22,147,0,5,0,1,3,13,0
HHS Regions,Region 10,2016,22,48,0,0,0,2,1,0,0
HHS Regions,Region 1,2016,23,2,0,0,0,0,0,0,0
HHS Regions,Region 2,2016,23,35,0,3,0,0,1,11,0
HHS Regions,Region 3,2016,23,30,0,0,0,0,1,0,0
HHS Regions,Region 4,2016,23,57,0,1,0,8,0,1,0
HHS Regions,Region 5,2016,23,81,0,0,1,0,2,0,0
HHS Regions,Region 6,2016,23,32,0,1,0,4,0,0,0
HHS Regions,Region 7,2016,23,4,0,0,0,0,0,0,0
HHS Regions,Region 8,2016,23,15,0,0,0,0,1,1,0
HHS Regions,Region 9,2016,23,149,5,8,0,1,1,4,0
HHS Regions,Region 10,2016,23,59,0,2,0,1,0,0,0
HHS Regions,Region 1,2016,24,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2016,24,33,1,5,0,1,4,5,0
HHS Regions,Region 3,2016,24,38,0,0,0,0,0,0,0
HHS Regions,Region 4,2016,24,54,0,4,0,3,0,0,0
HHS Regions,Region 5,2016,24,64,0,0,0,0,0,1,0
HHS Regions,Region 6,2016,24,34,0,1,0,2,0,0,0
HHS Regions,Region 7,2016,24,3,0,0,0,0,1,0,0
HHS Regions,Region 8,2016,24,8,0,0,0,0,0,1,0
HHS Regions,Region 9,2016,24,159,5,6,0,0,1,3,0
HHS Regions,Region 10,2016,24,31,1,2,0,0,0,0,0
HHS Regions,Region 1,2016,25,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2016,25,35,0,10,0,0,4,5,0
HHS Regions,Region 3,2016,25,29,0,0,0,0,2,0,0
HHS Regions,Region 4,2016,25,44,1,0,0,8,0,0,0
HHS Regions,Region 5,2016,25,59,2,1,0,0,1,1,0
HHS Regions,Region 6,2016,25,23,0,2,0,1,0,1,0
HHS Regions,Region 7,2016,25,3,1,0,0,0,0,0,0
HHS Regions,Region 8,2016,25,3,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,25,90,1,7,0,1,2,4,0
HHS Regions,Region 10,2016,25,34,0,2,0,0,0,0,0
HHS Regions,Region 1,2016,26,10,1,0,0,0,0,0,0
HHS Regions,Region 2,2016,26,26,0,4,0,0,5,8,0
HHS Regions,Region 3,2016,26,31,1,0,0,0,0,0,0
HHS Regions,Region 4,2016,26,43,0,0,1,4,0,0,0
HHS Regions,Region 5,2016,26,50,0,0,1,0,1,0,0
HHS Regions,Region 6,2016,26,25,0,1,1,0,0,0,0
HHS Regions,Region 7,2016,26,1,0,1,0,0,0,0,0
HHS Regions,Region 8,2016,26,8,0,1,0,0,0,0,0
HHS Regions,Region 9,2016,26,88,1,7,0,0,0,1,0
HHS Regions,Region 10,2016,26,43,0,4,0,0,0,0,0
HHS Regions,Region 1,2016,27,3,0,0,0,0,0,0,0
HHS Regions,Region 2,2016,27,23,2,3,0,0,4,7,0
HHS Regions,Region 3,2016,27,16,0,0,0,0,0,0,0
HHS Regions,Region 4,2016,27,17,0,3,0,4,0,0,0
HHS Regions,Region 5,2016,27,44,0,1,0,0,0,0,0
HHS Regions,Region 6,2016,27,31,0,0,0,1,0,0,0
HHS Regions,Region 7,2016,27,4,0,1,0,0,0,0,0
HHS Regions,Region 8,2016,27,2,0,1,0,0,0,0,0
HHS Regions,Region 9,2016,27,88,0,9,0,0,1,2,0
HHS Regions,Region 10,2016,27,43,0,0,0,0,0,0,0
HHS Regions,Region 1,2016,28,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2016,28,25,0,5,0,0,0,6,0
HHS Regions,Region 3,2016,28,14,0,0,0,0,0,0,0
HHS Regions,Region 4,2016,28,36,1,3,0,2,2,0,0
HHS Regions,Region 5,2016,28,55,0,2,0,0,0,1,0
HHS Regions,Region 6,2016,28,24,0,0,0,0,0,0,0
HHS Regions,Region 7,2016,28,8,0,3,0,0,0,0,0
HHS Regions,Region 8,2016,28,14,0,2,0,1,0,0,0
HHS Regions,Region 9,2016,28,68,0,4,1,0,0,4,0
HHS Regions,Region 10,2016,28,47,0,2,0,0,0,0,0
HHS Regions,Region 1,2016,29,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2016,29,31,0,10,0,1,0,6,0
